City_Name,Area_Name,Area_Type,Population,Industrial_Units,Commercial_Units,Waste_Source,Organic_Waste_kg,Plastic_Waste_kg,Metal_Waste_kg,Hazardous_Waste_kg,E_Waste_kg,Total_Waste_kg,Recycling_Rate_percent,Collection_Frequency_days,Air_Quality_Index,Waste_Category
Mumbai,Andheri,Semi-Urban,58408,29,343,Commercial,1890,1198,188,118,598,3992,32.61,3,72,Mixed
Mumbai,Powai,Industrial,106296,148,248,Commercial,4116,2175,1572,450,552,8865,77.01,2,132,Mixed
Meerut,Partapur,Semi-Urban,74995,105,24,Commercial,2471,2159,1383,562,40,6615,42.37,1,134,Non-Biodegradable
Meerut,Shastri Nagar,Semi-Urban,123017,68,201,Industrial,4228,2180,639,396,556,7999,21.81,1,90,Mixed
Pune,Pimpri-Chinchwad,Commercial,152810,22,92,Commercial,6459,3454,238,69,169,10389,52.68,3,103,Biodegradable
Pune,Pimpri-Chinchwad,Urban,90841,111,151,Industrial,1948,1557,1293,341,216,5355,74.06,1,117,Non-Biodegradable
Mumbai,Powai,Semi-Urban,120101,76,58,Residential,4653,1550,813,262,130,7408,33.02,3,137,Biodegradable
Delhi,Okhla Industrial Area,Commercial,27424,58,216,Industrial,1197,674,780,399,265,3315,73.2,3,119,Non-Biodegradable
Pune,Shivajinagar,Industrial,82650,44,127,Industrial,1737,1961,413,433,369,4913,34.34,2,116,Non-Biodegradable
Lucknow,Alambagh,Urban,86576,17,362,Commercial,3038,962,135,161,921,5217,47.73,1,93,Mixed
Delhi,Rohini,Semi-Urban,43415,97,64,Industrial,1128,1005,1239,820,220,4412,38.54,3,108,Non-Biodegradable
Meerut,Modipuram,Commercial,70014,82,232,Industrial,3451,933,429,338,1089,6240,77.21,3,112,Mixed
Lucknow,Gomti Nagar,Industrial,76450,79,457,Residential,2538,1970,951,635,1365,7459,64.02,3,120,Non-Biodegradable
Pune,Kothrud,Urban,190597,43,392,Commercial,9206,2007,232,214,1305,12964,79.45,3,114,Biodegradable
Delhi,Saket,Commercial,155167,149,327,Residential,6196,3177,1002,1430,643,12448,79.94,2,188,Mixed
Lucknow,Indira Nagar,Commercial,39774,104,485,Industrial,929,765,1284,556,1544,5078,77.15,3,156,Non-Biodegradable
Meerut,Shastri Nagar,Semi-Urban,124221,41,369,Commercial,3260,2363,406,381,1445,7855,66.21,1,114,Non-Biodegradable
Mumbai,Dadar,Industrial,84583,66,113,Residential,3495,1037,417,408,185,5542,77.7,2,97,Biodegradable
Lucknow,Indira Nagar,Urban,98452,133,380,Residential,4860,2376,1808,759,761,10564,37.97,1,171,Mixed
Pune,Hinjewadi,Semi-Urban,100215,88,286,Industrial,4426,1509,510,715,1385,8545,77.23,1,117,Mixed
Mumbai,Bandra,Semi-Urban,34922,57,448,Commercial,868,632,522,448,1209,3679,71.49,2,111,Non-Biodegradable
Lucknow,Indira Nagar,Semi-Urban,173503,15,58,Industrial,3655,3443,217,130,126,7571,55.77,3,93,Non-Biodegradable
Pune,Kothrud,Industrial,81451,117,324,Industrial,2496,2155,1031,378,1473,7533,49.83,3,152,Non-Biodegradable
Meerut,Partapur,Industrial,172859,75,457,Commercial,5989,3406,1100,335,1209,12039,79.38,2,133,Mixed
Meerut,Shastri Nagar,Industrial,127729,21,323,Industrial,2836,1432,128,87,1133,5616,46.3,1,84,Mixed
Delhi,Okhla Industrial Area,Semi-Urban,22174,84,266,Industrial,917,602,889,666,909,3983,53.55,3,123,Non-Biodegradable
Mumbai,Dadar,Semi-Urban,173491,26,20,Residential,4750,2010,259,157,43,7219,49.36,3,76,Biodegradable
