area,population,area_sqkm,num_industries,num_hospitals,num_schools,avg_income,waste_per_capita,recycling_rate,temperature,humidity,day_of_week,is_weekend,total_waste,aqi,waste_type
Residential,20006,11.455432361001257,33,1,7,146183,0.9040746963526058,32.61547265381036,29.73134914162305,47.09930511713671,4,0,23027.557519060047,349.4278085562115,Industrial Hazardous
Harbor,41435,11.205394096550595,49,7,3,56003,1.5160357106405866,22.69489757159088,17.123487285449624,51.90587516329519,1,0,65941.77466079211,500.0,Industrial Hazardous
Riverside,5690,19.721144707779935,39,5,17,71746,1.6530130458969678,48.836564451425154,35.30407360029716,61.683007335643715,5,1,13473.132374311392,278.7564286029709,Industrial Hazardous
Suburban,5075,2.785797459180216,2,9,13,86923,0.5902790640557392,47.855121149449054,37.73264783929257,57.60101092074038,3,0,3848.8720888327643,100.64675028982164,Low Volume Dry
Industrial,40995,13.2614138975547,25,2,17,97745,0.8587194290856803,26.07830959791982,30.719857580610835,62.865677392964194,4,0,44374.75489076129,500.0,Industrial Hazardous
Industrial,48646,20.99141377296503,13,3,3,20983,0.3511509576251345,12.989116415149383,32.20857756353199,48.72530044444122,2,0,20896.21814891203,272.6024471674835,Mixed Unsegregated
Downtown,35065,20.839717795204496,40,6,1,147310,2.200693784119384,25.345791956537823,16.385911615300564,40.00026458070294,0,0,76616.66530460161,500.0,Industrial Hazardous
Airport,35399,23.92525498038804,7,2,5,67114,0.35479115344164097,38.47906395261775,16.82442967215207,78.19893894254251,3,0,10848.670541026264,167.94517406549926,Low Volume Dry
Suburban,24206,17.607678541498387,48,0,10,117687,1.0011308432939074,11.412358894374442,19.491763899818004,32.35771533487282,0,0,26779.11957682288,428.94246636058375,Industrial Hazardous
Riverside,48168,5.590380421273345,15,5,0,71274,0.4721422844816908,46.38279693421817,21.845711683296933,52.18232264950228,2,0,22739.071838317064,298.01939151426194,Low Volume Dry
Downtown,23384,0.99686771491723,41,2,14,107339,2.0190930375763148,19.83361262611643,33.996402920996346,35.244112857049,1,0,67171.73609120483,500.0,Industrial Hazardous
Harbor,17699,12.245687066363997,20,9,11,39378,2.3349621007566133,55.930619695044555,25.885731175322476,74.17970557830296,4,0,46401.34943648403,500.0,High Volume Organic
Airport,44600,13.08574470775261,9,5,17,141744,1.5381943635991433,30.712231816476475,16.956242168667412,51.93078867609594,1,0,60174.88744552624,500.0,Standard Mixed
Industrial,39934,6.386433320223821,24,9,4,27548,0.6070469980783076,50.82759204778333,36.316126557117116,31.80298217542182,0,0,33210.851176834636,421.8292531645306,Industrial Hazardous
Industrial,49794,3.5550874545282785,37,2,10,59621,1.5279538882294235,36.95355481779615,39.84566756442403,34.55252158639885,1,0,116870.05513027834,500.0,Industrial Hazardous
Industrial,12979,14.86210007166747,21,5,18,137588,1.9947507267958933,33.27611062672426,26.375657317626498,41.91591694703482,1,0,29525.844277740354,397.9855558294252,Industrial Hazardous
Industrial,34678,19.224264013591462,48,3,0,86311,1.8805156514978614,40.92780800910674,27.794100139389286,77.21493192817508,3,0,85162.3075852042,500.0,Industrial Hazardous
Commercial,13165,24.83227553795893,47,3,16,146798,1.9317818129064215,48.68946742246565,16.962735980024128,77.95130430494112,5,1,26196.36141188986,425.0549394927507,Industrial Hazardous
Commercial,1034,19.078414121657705,46,9,7,106901,0.9141824536176508,38.670450264584176,24.57543577218244,89.79675331704189,3,0,831.4227166475366,143.10986498724256,Industrial Hazardous
Industrial,26792,19.943994149261734,45,9,15,116243,0.462222549685333,47.83444123150214,24.29510899725291,44.455397029014065,2,0,14963.169000327598,290.611375466282,Industrial Hazardous
Suburban,36632,15.603291516605537,3,1,10,135423,0.6277200048065904,11.42790986757078,39.14478782453894,33.626223181416336,3,0,30114.598483572416,365.6044788450323,Mixed Unsegregated
Industrial,36610,24.655105144765436,3,3,18,141465,2.4021142671736695,16.650992422488066,31.510787729006584,46.98784966162707,3,0,101149.947271532,500.0,High Volume Organic
Industrial,22969,16.178931435306975,29,3,10,109673,1.6497307716111587,13.783369295238403,34.554579006173036,40.72919984906916,3,0,51987.74585273873,500.0,Industrial Hazardous
Residential,46733,21.576205516792758,1,6,14,41531,1.9013791329006364,47.89819126887455,18.208301264952233,72.62327993492389,3,0,77033.17284112265,500.0,Standard Mixed
Commercial,37768,23.671723832903414,28,4,7,37870,2.277942101917333,5.16771353142455,25.423172043566964,88.15442326640809,5,1,98958.06512018088,500.0,Industrial Hazardous
Airport,1672,23.281533262263743,42,7,13,69547,2.176060046412842,47.751791846503686,19.788820057680766,46.38150160849986,2,0,3863.1309719439782,184.0497421262824,Industrial Hazardous
Industrial,28414,9.844675922692234,35,6,0,65738,0.7804840693820618,23.3425379888713,36.50472445710345,49.717984966870134,3,0,32382.82955060284,435.13766682286933,Industrial Hazardous
Commercial,21401,2.427220428699337,20,9,9,87537,0.4277320981392581,4.77042972104373,18.809309381445015,51.06697031102168,3,0,9083.256903814963,183.71515298942498,Mixed Unsegregated
Suburban,41275,4.710905712211547,20,8,6,129943,2.335282041899609,25.46557569158774,25.97178047507148,81.41722548604106,0,0,108121.96905904668,500.0,High Volume Organic
Downtown,34909,1.950970982216883,47,7,17,34756,2.4596702438030653,18.03013803203108,16.341257043843854,64.6811304441548,3,0,87554.99533402231,500.0,Industrial Hazardous
Suburban,19824,3.082224903313931,20,8,11,77707,1.5481572257307457,35.51713096695897,30.85735735501096,88.43858376622234,2,0,37024.983871623204,458.50870783141795,Standard Mixed
Industrial,9238,5.023955524395592,3,0,1,60830,2.2544842126431153,28.351597985628775,27.048118748694023,67.62973046871416,5,1,21718.526192816153,284.62553776767595,High Volume Organic
Downtown,37994,8.856810756391344,0,9,17,113399,0.8099953093724575,17.806643465301008,27.449169311002784,72.35293223449315,2,0,31911.96507158331,374.3988030764588,Standard Mixed
Harbor,45057,13.816721341089357,25,2,6,30046,0.5442851500976729,51.73595666433093,17.54047276479441,35.350032253109156,1,0,23184.023129383542,332.24114131759893,Industrial Hazardous
Harbor,24554,17.936210454199607,1,4,19,43652,1.3995972622985111,24.409285490734135,27.849529630426723,87.1008213746544,3,0,36881.624114654966,425.3028082548123,Standard Mixed
Airport,30209,5.667719734609542,8,8,11,75029,2.084603522864329,28.241399508106724,29.09458726956389,67.68338944470798,4,0,70597.04578702159,500.0,High Volume Organic
Industrial,44285,16.976798903834414,44,7,19,56956,1.7402379711287315,50.79771148514746,39.07100216693331,61.21083960417607,1,0,120268.2758158482,500.0,Industrial Hazardous
Downtown,20607,17.754347325309283,17,9,13,33886,1.7021043699162839,5.343396500641278,15.830567082137662,53.24422704417171,2,0,30893.39719578299,387.18320240512196,Mixed Unsegregated
Riverside,863,14.18624725322164,47,6,9,106281,0.3384095980953655,23.39358850666468,38.067840237289076,34.6230007453486,1,0,974.6534048275439,144.17963806980367,Industrial Hazardous
Commercial,10858,22.63863781006841,47,1,8,124653,0.9984843632032008,24.17140119170339,26.989111448289616,38.000820310222174,4,0,13909.471857649005,280.8618149663609,Industrial Hazardous
Downtown,36577,3.219372941084361,41,5,14,51823,2.366890730349459,29.749539309401005,20.252863137274353,30.701711815568416,0,0,94615.66665318285,500.0,Industrial Hazardous
Commercial,3740,4.8394757112592774,40,3,19,58948,0.5954017869372317,6.367235541564318,31.63865207378063,89.92154908001105,4,0,3062.0335400875,166.83311792916712,Industrial Hazardous
Downtown,7165,11.002288197542379,10,4,9,33322,1.8980050794117396,6.159607274973082,27.926305431323993,77.17737734545454,5,1,14717.988972345074,232.46945136903787,High Volume Organic
Harbor,46189,3.6044620132388525,24,4,18,93330,1.9704845383776983,24.98495734595495,20.668875410743205,77.8471166446937,5,1,93413.01195892575,500.0,Industrial Hazardous
Industrial,2436,14.374255521240142,25,3,18,131705,1.9122331350230353,1.9817405008036704,30.67067114588918,73.8054142883068,1,0,5915.034453663147,141.0489598377396,Industrial Hazardous
Suburban,47236,10.260811431930899,35,3,11,135431,2.476426767020388,15.299061543578107,26.831556879621957,59.04636252537452,3,0,142457.8926933887,500.0,Industrial Hazardous
Industrial,26038,7.472596966130002,41,3,11,26162,1.2002580649742345,12.070605226293818,32.225365459048845,35.29183152693541,0,0,43453.07774348948,500.0,Industrial Hazardous
Commercial,44465,4.664750418932113,34,1,8,134227,1.8008254628598426,29.363175679414486,32.22692320323482,34.33614248394833,5,1,107158.18848851236,500.0,Industrial Hazardous
Commercial,12498,8.715786839531152,37,0,19,102293,0.7260412494443652,0.6695734330926362,26.820382975272608,84.98245421913528,4,0,11115.365274089141,235.4656178052792,Industrial Hazardous
Industrial,1382,15.395004095392379,2,1,3,25905,1.1793618149163936,40.544007015838226,24.76990527304104,30.018867117230798,3,0,1569.580732312006,74.3890012901052,Standard Mixed
Harbor,20724,14.606737666790584,40,6,0,114301,1.3814333253528783,51.33523842784416,16.58110603567544,71.9461715352531,4,0,28785.294485290444,431.94153082885924,Industrial Hazardous
Airport,40191,4.508788005150729,34,0,15,138815,0.7726205904200563,42.40449109435826,27.346164949021073,67.71470493177648,2,0,38198.8502478483,500.0,Industrial Hazardous
Harbor,46976,3.5605353631455183,49,5,0,146614,2.2949836331894913,49.084690161720005,21.077875727210703,60.07352070859874,3,0,123749.37883223096,500.0,Industrial Hazardous
Harbor,31325,1.153580683917377,39,3,12,130580,1.8756352270281975,38.598984227891194,16.331186615641286,88.49703522223174,2,0,57828.02031294713,500.0,Industrial Hazardous
Suburban,5704,0.8044270479513405,21,1,2,77483,0.9242670898034886,30.4420220633485,23.25950576093588,41.8877012977196,0,0,5548.746985076694,146.44780471868518,Industrial Hazardous
Harbor,29385,22.055355675132287,7,2,11,58457,0.5969041664547075,13.141295838580046,17.186725468195128,77.11718705246045,0,0,15106.680320767562,207.93671406696666,Mixed Unsegregated
Downtown,40556,1.604676972132053,14,6,8,104940,0.933308122529517,16.777580860971845,29.49354557321422,70.49035150296629,0,0,44372.75150197929,500.0,Standard Mixed
Industrial,3703,18.414917191894535,44,5,3,35380,1.670567840934786,19.06248022317106,27.591726617826914,88.46590783386914,0,0,7623.310237419725,213.43240570961956,Industrial Hazardous
Downtown,2744,21.863634858001447,6,5,1,35508,2.118099004282629,2.2810601679890263,34.81072493490219,86.04430957154176,2,0,7479.923309155021,142.9372620487212,High Volume Organic
Residential,33286,2.9024172897802107,18,7,8,39676,1.4069701655213531,54.78532628471402,21.69083859098124,37.71427681060876,2,0,47926.379501684045,500.0,Standard Mixed
Residential,3583,11.189384883908932,39,7,19,108796,0.5254882817099309,54.01816215800244,24.288226636750068,48.46298784681427,5,1,2034.240065708887,149.6660401524533,Industrial Hazardous
